John Atanasoff    78   72   81   92
George Boole      92   86   98   91
Kathleen Booth    87   86   84   87
Vint Cerf         51   55   56   78
Donald Davies     65   60   41   72
Presper Eckert    67   67   68   82
Grace Hopper      69   69   68   99
Bill Joy          84   87   95   72
Donald Knuth      44   44   45   67
Ada Lovelace      77   87   71   99
Robert Metcalfe   83   83   84   98
Kristen Nygaard   94   94   95   91
Blaise Pascal     77   76   76   88
Dennis Richie     55   88   98   87
Claude Shannon    92   97   99   99
